pruning,max_depth,red_start_x,red_start_y,blue_start_x,blue_start_y,red_end_x,red_end_y,blue_end_x,blue_end_y,num_moves,total_time,avg_time,winner
TRUE,2,1,2,11,4,5,7,9,7,65,0.591419458,0.009098761,
TRUE,2,1,12,15,3,4,7,12,7,83,0.476724625,0.00574367,
TRUE,2,5,9,11,2,4,7,12,7,83,0.376589298,0.00453722,
TRUE,2,5,11,17,12,13,7,16,7,72,0.30218935,0.004197074,
TRUE,2,4,7,17,8,13,7,16,7,74,0.461766243,0.006240084,
TRUE,2,1,6,15,11,4,7,12,7,83,0.687162876,0.008279071,
TRUE,2,6,11,16,1,7,7,13,7,77,0.451792002,0.005867429,
TRUE,3,3,7,17,7,16,7,18,7,31,0.30757618,0.009921812,
TRUE,3,4,3,16,10,16,7,18,7,29,0.265794754,0.009165336,
TRUE,3,9,2,12,12,15,7,17,9,21,0.182516575,0.008691265,Team.RED
TRUE,3,5,4,18,9,16,7,18,7,25,0.218416214,0.008736649,
TRUE,3,9,8,18,12,16,7,18,7,19,0.216427803,0.011390937,
TRUE,3,3,6,15,2,2,7,4,7,26,0.251083136,0.009657044,
TRUE,3,7,1,14,4,4,5,5,7,20,0.198469639,0.009923482,Team.BLUE
TRUE,3,4,3,16,8,16,7,18,7,29,0.265298605,0.009148228,
TRUE,3,4,4,11,8,2,7,4,7,20,0.224400282,0.011220014,
TRUE,3,9,7,14,3,19,9,19,8,21,0.213430643,0.010163364,Team.RED
TRUE,3,6,12,15,9,16,7,18,7,27,0.264321327,0.009789679,
TRUE,3,6,8,13,11,19,5,19,6,27,0.285238981,0.010564407,Team.RED
TRUE,3,7,12,17,4,16,7,18,7,27,0.266287327,0.009862494,
TRUE,3,1,10,13,11,2,7,4,7,26,0.266288042,0.010241848,
TRUE,3,4,5,15,3,2,7,4,7,28,0.268224478,0.009579446,
TRUE,3,6,12,11,2,15,7,17,5,21,0.200491905,0.009547234,Team.RED
TRUE,3,8,12,13,11,3,9,5,7,20,0.198061943,0.009903097,Team.BLUE
TRUE,3,9,3,17,11,16,7,18,7,23,0.216395617,0.009408505,
TRUE,3,3,6,16,12,2,7,4,7,30,0.294214964,0.009807165,
TRUE,3,5,2,13,6,2,7,4,7,24,0.25232625,0.010513594,
TRUE,3,2,12,12,2,2,7,4,7,26,0.26828289,0.010318573,
TRUE,3,4,7,11,1,15,7,17,5,23,0.18054533,0.007849797,Team.RED
TRUE,3,3,1,13,2,2,7,4,7,26,0.25631547,0.009858287,
TRUE,3,4,6,17,6,16,7,18,7,27,0.231343508,0.008568278,
TRUE,3,4,10,12,11,2,7,4,7,24,0.233376026,0.009724001,
TRUE,3,7,6,17,3,16,7,18,7,23,0.228376627,0.009929419,
TRUE,3,9,4,11,8,3,5,5,7,14,0.155555248,0.011111089,Team.BLUE
TRUE,3,3,10,12,6,2,7,4,7,20,0.238364697,0.011918235,
TRUE,3,1,12,13,1,2,7,4,7,30,0.293231249,0.009774375,
TRUE,3,7,12,17,1,16,7,18,7,25,0.231380463,0.009255219,
TRUE,3,9,12,13,11,3,9,5,7,20,0.230357647,0.011517882,Team.BLUE
TRUE,3,9,11,14,6,16,7,18,7,25,0.269306898,0.010772276,
TRUE,3,3,5,14,2,2,7,4,7,26,0.257313967,0.009896691,
TRUE,3,2,5,18,7,16,7,18,7,33,0.277259588,0.008401806,
TRUE,3,4,4,11,4,2,7,4,7,22,0.219413519,0.009973342,
TRUE,3,7,1,17,11,16,7,18,7,27,0.24736619,0.009161711,
TRUE,3,9,5,11,5,19,9,19,8,23,0.234375715,0.010190248,Team.RED
TRUE,3,2,8,13,3,2,7,4,7,24,0.248336554,0.010347356,
TRUE,3,9,7,13,5,16,7,18,7,19,0.199494362,0.010499703,
TRUE,3,5,9,11,9,2,7,4,7,20,0.216393471,0.010819674,
TRUE,3,9,12,17,10,16,7,18,7,27,0.259785891,0.0096217,
TRUE,3,7,5,14,3,16,7,18,7,23,0.231387138,0.01006031,
TRUE,3,7,7,14,10,16,7,18,7,21,0.189491749,0.009023417,
TRUE,3,1,11,11,9,2,7,4,7,20,0.211434841,0.010571742,
TRUE,3,7,11,11,2,15,7,16,5,19,0.172511816,0.009079569,Team.RED
TRUE,3,5,8,12,9,2,7,4,7,22,0.240390539,0.010926843,
TRUE,3,2,1,15,1,2,7,4,7,30,0.351035357,0.011701179,
TRUE,3,7,7,15,2,16,7,18,7,23,0.226367235,0.009842054,
TRUE,3,1,6,18,5,2,7,4,7,34,0.311139822,0.009151171,
TRUE,3,2,7,16,8,2,7,4,7,28,0.2483356,0.008869129,
TRUE,3,5,3,14,3,2,7,4,7,24,0.240357399,0.010014892,
TRUE,3,1,1,14,3,2,7,4,7,26,0.271318197,0.010435315,
TRUE,3,7,2,11,10,3,5,5,7,18,0.203430653,0.011301703,Team.BLUE
TRUE,3,2,12,11,8,2,7,4,7,18,0.209969521,0.011664973,
TRUE,3,6,7,13,1,15,7,16,5,19,0.161568165,0.008503588,Team.RED
TRUE,3,3,4,11,10,2,7,4,7,24,0.281246424,0.011718601,
TRUE,3,1,10,14,5,2,7,4,7,26,0.262271404,0.010087362,
TRUE,3,9,7,16,4,16,7,18,7,17,0.169546843,0.009973344,
TRUE,3,3,5,16,7,2,7,4,7,30,0.287204504,0.009573483,
TRUE,3,4,9,13,8,2,7,4,7,24,0.243347883,0.010139495,
